"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT"
"    1P/Halley",0.9679,0.575,162.20,59.07,112.21,35.28,1986-02-08.1,75.9,HTC,57852,0,8518,,4.9e-10,1.6e-10,,
"    2P/Encke",0.8483,0.337,11.47,334.28,187.05,4.10,2023-10-21.7,3.31,ETc,2162,1,585,,3.1e-10,6.5e-12,,
"    3D/Biela",0.7513,0.879,13.22,250.67,221.66,6.19,1832-11-26.6,6.65,JFc,,,26,,3.9e-09,-2.5e-10,,
"    4P/Faye",0.5845,1.578,8.16,194.80,205.99,6.02,2021-09-05.6,7.4,JFc,3593,0,3562,,4.0e-09,3.2e-10,-7.1e-10,-37.7
"    5D/Brorsen",0.8098,0.590,29.38,102.97,14.95,5.61,1879-03-31.0,5.46,JFc,,,127,,1.3e-08,1.3e-09,,
"    6P/d'Arrest",0.6127,1.355,19.51,138.94,178.11,5.64,2021-09-17.7,6.54,JFc,2913,1,1093,,1.8e-10,-8.5e-10,,
"    7P/Pons-Winnecke",0.6376,1.239,22.33,93.42,172.51,5.60,2015-01-30.5,6.32,JFc,37122,0,1679,,6.4e-11,-5.2e-12,-1.0e-10,150
"    8P/Tuttle",0.8198,1.027,54.98,270.34,207.51,10.37,2008-01-27.0,13.6,JFC,20161,0,1768,,4.2e-10,-1.7e-11,-4.6e-11,67.5
"    9P/Tempel 1",0.5097,1.543,10.47,68.76,179.19,4.75,2016-08-02.5,5.58,JFc,5550,0,3264,,2.0e-11,1.2e-11,,
"   10P/Tempel 2",0.5364,1.421,12.03,117.80,195.54,4.71,2015-11-15.0,5.37,JFc,7702,0,4534,,2.3e-10,5.4e-12,7.4e-11,
"   11P/Tempel-Swift-LINEAR",0.5774,1.390,14.44,238.99,167.77,5.19,2020-11-26.0,5.96,JFc,7002,0,1182,,,,,
"   12P/Pons-Brooks",0.9546,0.781,74.19,255.86,198.99,33.59,2024-04-21.1,71.2,HTC,26057,0,8019,,,,,
"   13P/Olbers",0.9297,1.172,44.63,85.85,64.56,32.17,2024-06-30.7,68.1,HTC,50086,0,2350,,2.4e-09,5.9e-10,,
